aX,aY,aZ,gX,gY,gZ
0.575,0.412,-0.736,-16.235,-32.166,0.793
0.531,0.422,-0.699,-16.724,-29.663,-2.319
0.503,0.426,-0.676,-19.714,-26.306,-8.667
1.735,0.015,-0.905,-7.629,39.795,-22.522
1.941,-0.058,-0.979,-7.568,49.744,-30.029
2.153,-0.123,-1.053,-6.714,57.922,-31.677
2.375,-0.194,-1.122,-3.113,65.979,-24.536
2.549,-0.268,-1.193,1.709,74.890,-8.911
2.652,-0.361,-1.263,8.423,89.294,11.353
2.676,-0.493,-1.255,17.822,110.901,34.546
2.559,-0.600,-1.167,25.085,136.047,52.795
2.246,-0.611,-1.012,29.785,162.476,60.852
1.857,-0.552,-0.749,31.494,184.692,59.814
1.419,-0.490,-0.500,30.090,196.655,57.800
1.010,-0.424,-0.333,30.457,203.430,55.786
0.637,-0.324,-0.221,39.917,203.430,55.969
0.278,-0.239,-0.164,60.730,193.726,60.791
-0.026,-0.145,-0.153,86.975,180.847,64.697
-0.250,-0.016,-0.157,107.971,174.133,61.401
-0.387,0.101,-0.153,117.004,174.011,52.246
-0.472,0.246,-0.112,114.136,179.077,39.551
-0.612,0.418,-0.044,107.300,184.570,25.208
-0.778,0.541,-0.004,102.844,186.829,12.207
-0.935,0.603,0.019,100.647,181.641,1.953
-1.080,0.661,0.048,97.656,167.236,-4.272
-1.240,0.738,0.054,94.238,145.996,-6.104
-1.326,0.792,0.103,90.759,120.300,-5.676
-1.287,1.000,0.166,86.609,95.154,-4.028
-1.188,1.210,0.216,80.811,71.472,0.916
-1.046,1.266,0.207,71.960,49.927,4.517
-0.918,1.159,0.076,55.542,31.189,4.395
-0.785,0.959,-0.112,34.546,15.869,-0.977
-0.540,0.755,-0.274,18.433,6.714,-11.841
-0.392,0.631,-0.425,12.634,-0.671,-26.794
-0.043,0.580,-0.523,11.841,0.488,-39.551
0.316,0.518,-0.604,11.169,-3.601,-47.424
0.517,0.438,-0.726,11.230,-14.343,-53.223
0.698,0.350,-0.866,8.850,-21.484,-57.739
0.840,0.308,-1.000,8.057,-24.902,-55.359
0.879,0.321,-1.081,9.399,-28.137,-43.274
0.802,0.374,-1.066,9.888,-32.532,-28.564
0.679,0.463,-1.004,9.705,-34.607,-15.198
0.594,0.552,-0.946,9.583,-32.471,-5.554
0.540,0.610,-0.891,9.216,-29.236,-2.502
0.486,0.651,-0.854,7.324,-25.269,-3.357
0.440,0.666,-0.843,4.578,-20.386,-5.798
0.370,0.666,-0.846,1.343,-14.954,-7.507
0.527,0.637,-0.839,-1.465,-8.118,-5.066
0.407,0.589,-0.846,-2.747,-14.404,-1.587
0.376,0.584,-0.840,-4.333,-11.963,0.793
0.377,0.586,-0.852,-5.371,-3.845,3.723
0.406,0.528,-0.863,-2.258,2.686,9.277
0.392,0.473,-0.853,-0.549,5.615,12.024
0.367,0.482,-0.822,-0.305,5.920,11.108
0.345,0.521,-0.789,0.488,4.089,8.911
0.333,0.543,-0.769,1.160,2.014,8.545
0.316,0.544,-0.750,0.732,1.099,8.911
0.306,0.553,-0.730,-1.709,0.427,8.057
0.283,0.585,-0.714,-4.578,-0.244,6.348
0.255,0.583,-0.708,-6.653,-1.282,3.540
0.235,0.562,-0.705,-7.751,-2.319,1.160
0.213,0.552,-0.707,-9.644,-3.479,1.648
0.213,0.542,-0.708,-11.597,-5.737,2.075
0.222,0.531,-0.717,-12.695,-8.789,1.282
0.227,0.515,-0.727,-12.878,-11.841,0.610
0.260,0.497,-0.736,-12.695,-15.076,0.671
0.276,0.490,-0.746,-12.329,-18.982,2.747
0.284,0.500,-0.743,-12.512,-21.973,5.859
0.292,0.505,-0.735,-13.184,-23.682,7.385
0.301,0.503,-0.736,-14.038,-23.499,6.348
0.301,0.495,-0.753,-15.686,-21.667,3.357
0.297,0.464,-0.767,-17.395,-20.386,-1.099
0.300,0.442,-0.780,-19.104,-19.775,-4.089
0.298,0.434,-0.791,-19.653,-20.508,-4.883
0.297,0.430,-0.788,-19.104,-22.827,-4.211
0.312,0.438,-0.775,-18.311,-26.184,-2.808
0.337,0.445,-0.773,-16.907,-30.762,-1.038
0.366,0.438,-0.784,-14.893,-36.316,2.380
0.398,0.428,-0.792,-12.573,-41.626,7.874
0.426,0.426,-0.789,-10.559,-46.509,14.099
0.448,0.440,-0.777,-8.667,-50.781,19.165
0.441,0.462,-0.776,-8.911,-53.650,21.729
0.438,0.454,-0.786,-10.376,-53.894,18.982
0.453,0.437,-0.805,-11.536,-51.270,13.123
0.474,0.423,-0.827,-11.902,-46.509,7.690
0.482,0.409,-0.838,-11.658,-41.809,3.784
