aX,aY,aZ,gX,gY,gZ
-0.091,-0.283,0.940,-13.306,-25.696,-54.260
-0.151,-0.225,1.069,-11.108,-24.353,-49.988
-0.240,-0.235,1.096,-17.395,-21.423,-45.349
-0.281,-0.264,1.013,-25.818,-21.729,-42.175
-0.298,-0.257,0.885,-28.503,-26.367,-38.330
-0.311,-0.232,0.742,-26.245,-31.006,-32.898
-0.303,-0.221,0.633,-19.287,-30.518,-27.405
-0.275,-0.212,0.619,-7.568,-21.362,-21.729
-0.248,-0.214,0.711,5.310,-7.629,-15.808
-0.232,-0.265,0.844,16.113,5.249,-9.155
-0.249,-0.391,0.945,20.447,13.184,-3.967
-0.270,-0.523,0.973,18.921,14.160,-2.563
-0.284,-0.622,0.979,15.076,9.094,-5.005
-0.281,-0.652,0.978,11.963,2.930,-10.986
-0.288,-0.606,0.972,7.385,-1.404,-18.494
-0.297,-0.543,0.939,0.610,-4.333,-25.696
-0.282,-0.466,0.868,-6.287,-7.874,-31.067
-0.276,-0.373,0.807,-11.963,-10.620,-33.875
-0.278,-0.330,0.805,-14.038,-10.132,-33.813
-0.290,-0.330,0.818,-14.221,-7.019,-31.677
-0.354,-0.363,0.877,-14.648,-5.920,-30.151
-0.428,-0.399,0.923,-13.611,-6.104,-29.968
-0.437,-0.410,0.905,-12.085,-9.338,-31.250
-0.422,-0.398,0.849,-9.033,-16.418,-32.227
-0.421,-0.347,0.797,-7.568,-23.132,-32.898
-0.405,-0.280,0.755,-8.667,-24.536,-33.447
-0.383,-0.218,0.717,-12.207,-23.499,-33.447
-0.363,-0.203,0.693,-16.357,-20.630,-31.860
-0.350,-0.185,0.690,-20.569,-15.747,-28.992
-0.381,-0.199,0.740,-22.522,-10.620,-24.841
-0.456,-0.256,0.820,-22.095,-6.470,-21.484
-0.499,-0.321,0.889,-21.729,-5.188,-20.813
-0.500,-0.331,0.910,-20.630,-9.277,-22.156
-0.505,-0.316,0.894,-17.639,-17.395,-22.888
-0.504,-0.301,0.855,-15.320,-25.269,-23.071
-0.495,-0.276,0.814,-15.137,-29.419,-23.315
-0.495,-0.263,0.753,-15.320,-30.090,-22.705
-0.498,-0.273,0.716,-13.428,-28.687,-21.545
-0.502,-0.306,0.720,-9.277,-24.902,-19.897
-0.500,-0.349,0.748,-4.761,-18.677,-17.944
-0.510,-0.368,0.807,-1.526,-12.878,-16.846
-0.524,-0.359,0.915,-0.671,-11.292,-15.259
-0.604,-0.329,0.945,-3.174,-19.348,-13.123
-0.620,-0.314,0.903,-9.277,-16.235,-12.390
-0.558,-0.303,0.841,-16.602,-3.235,-15.869
-0.496,-0.254,0.804,-20.264,5.005,-19.043
-0.463,-0.184,0.789,-17.517,2.075,-18.494
-0.465,-0.149,0.828,-9.888,-6.470,-14.282
-0.504,-0.159,0.872,-3.052,-13.245,-8.972
-0.518,-0.184,0.876,-0.183,-14.587,-4.700
-0.507,-0.214,0.847,-0.671,-13.184,-2.991
-0.495,-0.234,0.833,-1.953,-12.573,-2.808
-0.491,-0.226,0.819,-1.160,-12.207,-2.686
-0.488,-0.195,0.804,1.526,-11.841,-2.686
-0.480,-0.162,0.797,4.089,-11.292,-2.686
-0.493,-0.145,0.787,5.920,-10.559,-1.526
-0.504,-0.143,0.749,5.737,-11.108,0.671
-0.514,-0.152,0.691,4.578,-11.414,2.869
-0.507,-0.163,0.652,4.272,-9.583,4.822
-0.523,-0.172,0.651,5.005,-6.348,7.080
-0.538,-0.166,0.685,7.080,-2.075,9.705
-0.543,-0.193,0.727,10.071,3.418,11.719
-0.529,-0.234,0.752,12.939,6.897,14.038
-0.509,-0.277,0.758,14.709,5.981,15.625
-0.513,-0.336,0.753,15.015,4.150,14.954
-0.520,-0.380,0.751,16.235,4.272,12.878
-0.519,-0.384,0.741,19.592,4.761,10.681
-0.532,-0.378,0.719,23.621,5.310,9.094
-0.551,-0.375,0.697,26.245,6.409,7.690
-0.564,-0.376,0.658,27.466,10.559,7.263
-0.510,-0.366,0.675,25.940,13.672,6.165
-0.506,-0.383,0.713,21.423,4.456,4.456
-0.515,-0.385,0.749,14.160,1.038,1.526
-0.493,-0.327,0.766,8.179,8.484,0.854
-0.503,-0.291,0.798,5.554,16.907,3.540
-0.519,-0.312,0.844,4.639,23.132,4.822
-0.497,-0.346,0.868,2.808,22.522,2.563
-0.482,-0.334,0.844,1.404,13.000,-0.122
-0.504,-0.307,0.793,3.784,0.366,-1.282
-0.514,-0.296,0.742,8.606,-7.507,-1.526
-0.512,-0.326,0.698,13.367,-11.414,-1.465
-0.504,-0.356,0.675,17.700,-11.658,-1.709
-0.497,-0.347,0.683,22.034,-6.653,-1.709
-0.481,-0.379,0.725,26.489,-0.549,-2.380
-0.464,-0.382,0.777,29.663,5.371,-2.014
-0.428,-0.346,0.794,28.015,9.705,-1.953
-0.392,-0.280,0.804,22.400,11.536,-2.686
-0.398,-0.222,0.819,17.212,12.146,-1.770
-0.386,-0.194,0.785,12.878,10.986,0.916
-0.376,-0.192,0.714,9.705,6.775,4.822
1.132,-0.931,1.184,40.588,177.246,76.965
1.013,-1.054,1.387,13.367,174.683,69.214
0.924,-1.089,1.566,-3.357,167.847,55.847
0.795,-1.041,1.696,-6.836,150.696,41.748
0.633,-1.021,1.775,-1.831,130.981,30.884
0.524,-0.987,1.792,2.380,110.535,20.691
0.442,-0.922,1.768,4.272,92.224,11.963
0.356,-0.848,1.694,7.202,72.815,5.676
0.308,-0.807,1.572,11.108,50.659,2.075
0.286,-0.782,1.411,13.367,26.489,0.061
0.261,-0.772,1.210,13.855,-1.770,-0.122
0.248,-0.789,0.992,14.587,-32.043,-0.122
0.234,-0.805,0.793,15.198,-57.922,-0.977
0.212,-0.814,0.616,13.977,-75.623,-2.136
0.191,-0.825,0.465,11.047,-87.158,-3.418
0.168,-0.821,0.330,8.301,-91.736,-4.578
0.157,-0.799,0.244,5.920,-89.111,-5.371
0.130,-0.775,0.215,4.761,-82.947,-4.700
0.100,-0.761,0.216,3.723,-77.881,-3.601
0.071,-0.763,0.234,2.319,-75.317,-2.319
0.044,-0.791,0.254,-0.549,-71.899,-1.038
0.014,-0.820,0.279,-4.272,-65.125,-0.854
0.001,-0.849,0.300,-6.348,-52.429,-1.648
0.003,-0.887,0.343,-6.348,-39.063,-2.625
-0.007,-0.906,0.399,-6.836,-28.259,-4.089
-0.013,-0.901,0.459,-9.216,-18.799,-5.859
-0.010,-0.903,0.507,-13.306,-9.460,-7.751
0.016,-0.909,0.539,-18.250,-0.244,-9.399
0.054,-0.910,0.572,-20.935,8.118,-10.620
0.084,-0.932,0.633,-19.775,11.414,-12.268
0.075,-0.933,0.700,-17.944,11.108,-14.893
0.054,-0.925,0.762,-18.005,12.085,-18.982
0.068,-0.898,0.770,-21.912,11.963,-23.560
0.096,-0.845,0.725,-27.893,6.042,-26.672
0.097,-0.792,0.682,-31.860,-2.319,-27.466
0.097,-0.763,0.646,-32.410,-7.507,-26.733
0.090,-0.759,0.626,-30.884,-10.071,-25.330
0.065,-0.763,0.632,-27.466,-12.939,-24.475
0.041,-0.752,0.641,-23.926,-14.893,-23.987
0.046,-0.716,0.635,-21.545,-16.907,-23.499
0.014,-0.673,0.601,-21.057,-21.179,-22.095
0.017,-0.657,0.566,-21.240,-22.705,-21.484
0.013,-0.664,0.571,-21.423,-16.724,-20.630
0.021,-0.661,0.601,-21.057,-11.414,-19.287
0.036,-0.676,0.648,-22.156,-13.000,-18.127
0.025,-0.747,0.691,-24.719,-16.174,-18.127
-0.000,-0.798,0.708,-28.015,-16.174,-19.836
-0.044,-0.794,0.710,-28.503,-18.188,-22.644
-0.095,-0.733,0.692,-24.475,-25.513,-25.635
-0.123,-0.653,0.667,-18.127,-33.752,-27.466
-0.125,-0.594,0.632,-12.634,-38.757,-26.733
-0.104,-0.572,0.581,-8.850,-40.649,-23.682
-0.080,-0.589,0.526,-5.432,-39.978,-18.555
-0.080,-0.640,0.508,-2.686,-36.865,-13.794
-0.158,-0.746,0.557,-1.221,-29.846,-10.742
-0.246,-0.828,0.632,-1.038,-22.217,-12.146
-0.272,-0.836,0.655,-1.282,-15.564,-15.259
-0.270,-0.785,0.637,-3.723,-14.099,-18.311
-0.257,-0.723,0.596,-8.118,-14.221,-20.813
-0.232,-0.665,0.567,-13.245,-11.597,-21.912
-0.208,-0.620,0.574,-17.029,-6.104,-20.569
-0.214,-0.621,0.616,-20.020,-1.465,-18.372
-0.259,-0.654,0.675,-21.423,1.953,-16.113
-0.290,-0.692,0.731,-21.301,2.014,-14.648
-0.323,-0.723,0.757,-20.935,-0.793,-14.160
-0.358,-0.734,0.745,-20.203,-5.127,-14.709
-0.356,-0.707,0.693,-18.860,-10.742,-15.625
-0.329,-0.667,0.628,-16.357,-14.832,-15.747
-0.299,-0.637,0.579,-12.634,-15.808,-14.648
-0.295,-0.638,0.578,-6.958,-13.367,-13.062
-0.310,-0.672,0.623,0.122,-9.460,-10.559
-0.316,-0.717,0.683,3.906,-6.470,-9.644
-0.318,-0.750,0.734,3.113,-4.333,-10.864
-0.378,-0.747,0.753,-1.282,-3.662,-12.390
-0.403,-0.707,0.741,-6.287,-5.127,-14.221
-0.398,-0.649,0.703,-10.376,-7.385,-15.015
-0.381,-0.602,0.669,-13.123,-9.521,-14.221
-0.396,-0.584,0.637,-15.137,-10.620,-12.390
-0.373,-0.592,0.605,-15.564,-10.986,-9.521
-0.365,-0.620,0.582,-13.245,-11.658,-6.653
-0.383,-0.659,0.578,-7.935,-11.719,-4.456
-0.399,-0.708,0.597,-2.441,-11.597,-4.395
-0.419,-0.748,0.641,1.404,-10.803,-5.798
-0.442,-0.738,0.672,2.075,-9.460,-8.240
-0.458,-0.700,0.677,-1.099,-9.155,-10.925
-0.459,-0.655,0.652,-5.371,-10.681,-13.000
-0.427,-0.607,0.582,-9.338,-12.329,-13.489
-0.413,-0.584,0.541,-12.512,-12.451,-12.085
-0.409,-0.590,0.538,-13.672,-8.545,-9.460
-0.389,-0.627,0.554,-13.672,-4.639,-7.263
-0.397,-0.666,0.582,-13.367,-2.747,-5.676
-0.396,-0.701,0.617,-12.756,-2.380,-5.859
-0.379,-0.712,0.647,-12.146,-2.563,-7.629
-0.417,-0.715,0.683,-11.719,-2.747,-9.705
-0.430,-0.687,0.698,-12.085,-2.808,-11.536
-0.425,-0.628,0.685,-14.099,-3.296,-12.573
-0.423,-0.593,0.689,-15.015,-3.479,-12.268
-0.407,-0.582,0.681,-13.245,-2.991,-10.132
-0.386,-0.546,0.660,-12.329,-3.296,-7.690
-0.379,-0.540,0.656,-10.864,-3.967,-5.432
-0.362,-0.541,0.657,-8.484,-3.784,-3.418
-0.344,-0.548,0.661,-6.287,-3.296,-0.732
-0.353,-0.580,0.712,-3.540,-3.296,2.014
-0.372,-0.621,0.737,-3.052,-3.174,2.319
-0.361,-0.640,0.723,-5.859,-4.028,0.427
-0.381,-0.614,0.724,-8.057,-5.005,-1.526
-0.388,-0.573,0.733,-8.667,-4.150,-2.747
-0.376,-0.519,0.725,-9.399,-3.235,-3.479
-0.380,-0.480,0.722,-10.620,-3.601,-3.052
-0.392,-0.478,0.710,-12.390,-4.395,-1.709
-0.388,-0.515,0.667,-12.634,-5.066,0.366
-0.368,-0.551,0.618,-10.559,-6.592,1.770
-0.381,-0.630,0.597,-5.554,-6.775,1.282
-0.395,-0.658,0.611,0.122,-3.845,0.610
-0.395,-0.653,0.658,3.967,0.305,-1.770
-0.399,-0.640,0.693,5.005,4.150,-4.333
-0.400,-0.620,0.718,1.709,4.456,-7.446
-0.410,-0.580,0.714,-4.456,2.930,-9.460
-0.410,-0.557,0.669,-11.047,2.075,-10.559
1.184,-0.798,1.117,-120.728,56.580,-87.280
1.500,-0.897,1.124,-125.061,48.157,-101.685
1.806,-1.050,1.011,-102.417,56.213,-103.882
1.955,-1.069,0.898,-59.753,81.909,-107.666
2.001,-0.884,0.893,-18.372,111.389,-121.460
1.851,-0.489,0.981,14.465,136.047,-138.794
1.456,0.096,1.257,43.213,144.775,-150.574
1.103,0.648,1.568,66.040,143.250,-147.217
0.940,0.990,1.762,83.130,139.038,-120.178
0.842,1.021,1.901,94.604,125.244,-70.190
0.647,0.925,2.061,98.389,95.642,-13.672
0.370,0.728,2.261,89.844,54.993,29.907
0.033,0.528,2.344,66.406,14.221,53.894
-0.155,0.273,2.307,34.363,-16.113,63.293
-0.118,0.010,2.096,1.709,-33.875,62.012
0.026,-0.228,1.765,-28.259,-41.931,53.711
0.185,-0.414,1.425,-55.847,-48.767,35.828
0.280,-0.570,1.068,-75.928,-59.509,15.137
0.359,-0.673,0.805,-82.764,-72.815,3.418
0.444,-0.697,0.657,-71.167,-85.022,3.967
0.499,-0.675,0.629,-42.725,-96.130,12.268
0.493,-0.619,0.688,-8.362,-105.469,25.635
0.453,-0.552,0.785,17.395,-113.892,40.710
0.391,-0.467,0.862,30.884,-119.629,53.467
0.281,-0.388,0.889,33.936,-119.873,59.509
0.161,-0.378,0.901,30.334,-115.417,58.167
0.068,-0.418,0.903,19.958,-106.689,51.208
0.036,-0.468,0.885,7.446,-93.262,41.016
0.023,-0.510,0.858,-1.953,-79.651,30.640
0.005,-0.538,0.844,-7.080,-70.313,23.132
-0.049,-0.540,0.811,-7.324,-64.819,19.714
-0.132,-0.507,0.798,-3.723,-62.195,19.470
-0.188,-0.456,0.802,1.709,-60.852,22.949
-0.223,-0.418,0.801,6.897,-60.913,27.161
-0.242,-0.395,0.803,12.085,-60.364,30.029
-0.253,-0.372,0.807,15.625,-59.448,29.968
-0.274,-0.349,0.805,16.968,-58.167,27.161
-0.327,-0.328,0.784,15.137,-56.335,22.766
-0.391,-0.314,0.746,11.963,-52.002,18.860
-0.436,-0.323,0.716,6.531,-45.715,14.038
-0.439,-0.336,0.682,-0.061,-37.903,7.324
-0.449,-0.343,0.641,-4.761,-31.128,-0.916
-0.476,-0.344,0.642,-6.775,-26.001,-8.301
-0.481,-0.342,0.659,-7.202,-23.743,-13.611
-0.474,-0.339,0.671,-5.371,-24.902,-16.174
-0.486,-0.337,0.674,-0.854,-29.175,-16.968
-0.496,-0.321,0.676,4.456,-33.508,-16.174
-0.490,-0.304,0.675,7.812,-36.194,-13.916
-0.495,-0.292,0.669,9.521,-36.377,-11.108
-0.516,-0.260,0.687,10.193,-34.180,-8.728
-0.536,-0.212,0.727,9.521,-31.128,-6.836
-0.548,-0.184,0.767,9.277,-28.687,-5.310
-0.560,-0.174,0.805,10.071,-27.222,-3.601
-0.585,-0.176,0.835,9.338,-26.611,-1.038
-0.591,-0.194,0.850,6.653,-24.902,1.953
-0.601,-0.210,0.844,2.808,-23.071,3.662
-0.626,-0.234,0.838,-1.343,-21.606,2.991
-0.636,-0.258,0.834,-5.493,-18.921,0.366
-0.628,-0.275,0.814,-9.216,-14.771,-3.418
-0.613,-0.288,0.793,-12.024,-10.925,-7.751
-0.583,-0.294,0.775,-14.465,-8.301,-11.963
-0.545,-0.288,0.752,-16.235,-7.935,-15.137
-0.536,-0.277,0.731,-16.235,-9.277,-18.005
-0.527,-0.264,0.726,-15.381,-11.108,-20.325
-0.529,-0.239,0.740,-15.259,-15.015,-21.179
-0.539,-0.202,0.744,-13.794,-17.395,-23.437
-0.531,-0.164,0.755,-11.169,-16.846,-20.691
-0.543,-0.120,0.766,-7.996,-19.348,-14.282
-0.554,-0.086,0.784,-4.578,-21.790,-8.301
-0.573,-0.060,0.809,-2.197,-24.841,-4.700
-0.594,-0.064,0.833,-1.648,-28.992,-2.991
-0.591,-0.092,0.840,-3.113,-32.471,-0.671
-0.565,-0.133,0.827,-5.066,-34.302,2.563
-0.554,-0.175,0.794,-7.080,-35.156,4.944
-0.561,-0.207,0.760,-9.705,-34.180,5.371
-0.577,-0.217,0.734,-12.024,-30.579,4.333
-0.598,-0.210,0.718,-12.878,-25.452,2.625
-0.616,-0.193,0.714,-11.536,-19.775,1.343
-0.633,-0.181,0.729,-8.850,-14.893,1.587
-0.635,-0.176,0.749,-6.348,-12.390,3.113
-0.624,-0.170,0.770,-4.211,-11.719,5.188
-0.619,-0.167,0.797,-2.686,-12.390,6.165
-0.606,-0.168,0.819,-2.075,-13.672,5.920
-0.587,-0.165,0.833,-1.648,-14.893,5.432
-0.574,-0.161,0.840,-1.099,-16.663,5.310
-0.575,-0.154,0.839,-1.038,-18.555,4.761
-0.582,-0.145,0.833,-1.831,-19.043,4.639
-0.583,-0.135,0.826,-3.845,-17.212,4.028
-0.571,-0.135,0.817,-6.470,-13.794,3.113
-0.558,-0.143,0.805,-8.301,-10.010,1.526
-0.548,-0.149,0.800,-8.972,-7.446,0.366
-0.542,-0.149,0.798,-9.155,-6.836,-0.244
-0.540,-0.158,0.798,-8.850,-7.446,0.305
-0.535,-0.171,0.798,-8.545,-8.484,2.075
-0.530,-0.178,0.795,-8.667,-9.216,3.418
-0.540,-0.185,0.794,-8.606,-9.949,3.662
-0.554,-0.190,0.792,-8.667,-9.888,2.625
-0.562,-0.193,0.794,-8.728,-9.583,0.793
-0.564,-0.180,0.784,-8.667,-9.399,-0.671
-0.574,-0.168,0.777,-8.667,-10.254,-0.916
-0.574,-0.176,0.772,-9.399,-11.719,-0.854
-0.548,-0.189,0.759,-10.742,-12.390,-0.977
-0.516,-0.198,0.746,-11.658,-11.780,-1.648
-0.488,-0.199,0.735,-11.536,-10.620,-2.625
-0.475,-0.192,0.722,-11.353,-9.094,-3.662
-0.488,-0.189,0.712,-10.925,-7.141,-4.395
-0.517,-0.191,0.712,-11.230,-4.883,-4.944
-0.538,-0.186,0.713,-12.085,-2.319,-5.310
-0.549,-0.179,0.717,-12.634,0.061,-6.226
-0.543,-0.179,0.723,-12.695,1.770,-7.385
-0.528,-0.173,0.730,-11.719,2.380,-8.362
-0.517,-0.158,0.740,-10.254,1.587,-8.484
-0.520,-0.151,0.744,-8.789,-0.061,-8.179
-0.525,-0.162,0.748,-8.423,-1.282,-7.385
-0.533,-0.175,0.757,-9.583,-1.587,-6.348
-0.534,-0.184,0.755,-12.268,-0.549,-6.653
-0.543,-0.187,0.749,-14.221,1.770,-7.874
-0.567,-0.183,0.747,-15.991,4.883,-9.338
-0.599,-0.173,0.752,-18.127,7.690,-10.681
1.512,-0.908,0.469,15.991,145.325,-0.366
1.388,-0.962,0.810,-15.747,126.953,-0.427
1.307,-1.115,0.994,-61.768,123.718,-19.287
1.425,-1.257,0.936,-110.962,141.602,-57.922
1.823,-1.455,0.729,-136.047,175.354,-105.286
2.219,-1.548,0.465,-128.906,206.909,-145.996
2.409,-1.380,0.310,-94.727,220.276,-172.974
2.366,-0.953,0.397,-37.781,214.050,-180.054
2.115,-0.379,0.792,32.043,186.218,-162.659
1.710,0.079,1.302,109.009,144.226,-126.160
1.316,0.363,1.892,156.311,104.187,-76.233
0.933,0.521,2.393,159.485,68.237,-21.301
0.521,0.632,2.710,124.573,35.034,22.217
0.162,0.655,2.805,69.519,6.714,42.297
-0.055,0.551,2.630,14.404,-15.442,37.231
0.006,0.253,2.219,-28.442,-29.541,21.790
0.263,-0.099,1.704,-62.500,-35.583,12.024
0.465,-0.423,1.187,-83.923,-39.368,9.216
0.579,-0.765,0.717,-90.088,-40.344,9.888
0.626,-1.021,0.370,-85.022,-41.931,12.512
0.620,-1.133,0.173,-70.435,-48.279,18.555
0.568,-1.110,0.130,-45.044,-62.439,27.283
0.484,-1.010,0.223,-14.465,-83.557,37.720
0.370,-0.858,0.390,13.245,-105.103,49.744
0.249,-0.687,0.574,35.400,-119.263,60.791
0.175,-0.540,0.733,47.546,-121.521,65.491
0.137,-0.448,0.839,48.401,-114.990,65.857
0.120,-0.409,0.898,39.673,-104.736,64.758
0.118,-0.409,0.923,23.254,-93.933,62.988
0.110,-0.441,0.929,3.723,-84.595,59.998
0.096,-0.492,0.917,-13.855,-75.378,53.284
0.084,-0.551,0.894,-26.978,-65.186,42.664
0.072,-0.599,0.874,-34.302,-55.237,30.640
0.058,-0.611,0.859,-36.194,-47.852,19.348
0.042,-0.598,0.854,-33.203,-43.884,11.292
0.036,-0.557,0.871,-25.696,-43.274,6.165
0.035,-0.503,0.894,-15.320,-44.800,3.174
0.028,-0.447,0.917,-5.676,-48.157,2.686
0.010,-0.393,0.938,1.343,-52.673,4.028
-0.004,-0.351,0.953,3.906,-57.190,6.226
-0.012,-0.315,0.944,1.709,-59.814,7.263
-0.021,-0.294,0.914,-3.052,-59.998,6.653
-0.017,-0.298,0.880,-9.216,-58.228,4.456
-0.000,-0.305,0.834,-15.625,-54.626,2.014
0.008,-0.312,0.804,-20.264,-50.293,0.427
0.006,-0.325,0.788,-22.095,-45.959,0.427
0.000,-0.349,0.783,-20.935,-41.992,1.892
-0.008,-0.372,0.792,-17.273,-39.368,4.944
-0.015,-0.388,0.803,-13.000,-38.452,8.362
-0.028,-0.397,0.812,-8.362,-38.696,11.292
-0.055,-0.392,0.832,-2.930,-40.527,13.000
-0.075,-0.358,0.848,1.953,-42.786,13.428
-0.109,-0.342,0.871,4.211,-44.434,12.268
-0.134,-0.323,0.894,6.714,-45.166,12.085
-0.141,-0.307,0.902,9.277,-45.593,12.695
-0.146,-0.305,0.900,10.193,-46.448,13.611
-0.148,-0.312,0.884,8.667,-47.302,14.526
-0.150,-0.317,0.859,5.615,-47.302,14.343
-0.149,-0.319,0.832,2.441,-46.021,12.634
-0.146,-0.321,0.805,0.122,-42.603,10.254
-0.151,-0.338,0.782,-0.671,-37.964,8.118
-0.151,-0.341,0.757,0.122,-32.959,6.958
-0.140,-0.329,0.742,2.258,-28.198,5.798
-0.146,-0.324,0.743,6.592,-24.963,4.883
-0.145,-0.318,0.755,13.123,-22.522,6.592
-0.127,-0.301,0.769,20.386,-21.057,10.681
-0.123,-0.282,0.781,27.710,-21.179,16.113
-0.138,-0.274,0.807,33.997,-22.034,22.156
-0.170,-0.267,0.830,37.109,-21.179,27.405
-0.216,-0.257,0.857,37.354,-17.883,31.067
-0.261,-0.256,0.884,34.485,-12.878,32.776
-0.294,-0.268,0.904,28.870,-7.263,32.104
-0.302,-0.282,0.927,22.095,-2.319,29.846
-0.312,-0.300,0.925,14.709,1.282,27.344
-0.303,-0.324,0.911,8.850,3.601,24.719
-0.294,-0.344,0.897,5.493,4.822,22.034
-0.286,-0.364,0.886,3.601,4.272,19.409
-0.284,-0.378,0.876,3.601,3.296,17.578
-0.279,-0.382,0.881,4.944,2.075,16.541
-0.271,-0.373,0.890,6.958,-0.183,16.541
-0.277,-0.363,0.904,8.728,-2.747,17.578
-0.285,-0.357,0.922,9.460,-5.127,19.226
-0.289,-0.350,0.934,7.568,-7.446,20.020
-0.285,-0.355,0.940,4.028,-9.094,19.043
-0.286,-0.369,0.938,0.183,-9.949,16.663
-0.289,-0.385,0.928,-3.784,-10.132,13.306
-0.282,-0.395,0.911,-8.057,-10.315,9.766
-0.275,-0.405,0.899,-10.803,-10.681,6.653
-0.274,-0.406,0.892,-11.658,-10.986,4.517
-0.275,-0.402,0.895,-11.597,-11.658,2.930
-0.267,-0.390,0.899,-10.925,-12.695,2.441
-0.255,-0.379,0.902,-10.071,-14.160,2.930
-0.258,-0.370,0.906,-9.460,-15.808,4.089
-0.271,-0.358,0.912,-9.583,-17.212,5.188
-0.278,-0.353,0.916,-11.475,-17.761,5.798
-0.275,-0.356,0.908,-14.648,-16.785,5.432
-0.273,-0.363,0.897,-18.311,-14.832,3.723
-0.271,-0.367,0.887,-21.973,-12.451,0.854
-0.271,-0.373,0.875,-23.926,-10.315,-2.075
-0.274,-0.372,0.863,-22.949,-9.094,-4.028
-0.278,-0.363,0.856,-20.386,-9.277,-5.005
-0.276,-0.354,0.847,-17.090,-10.132,-5.249
-0.278,-0.351,0.842,-13.916,-10.986,-5.371
-0.276,-0.346,0.834,-12.085,-11.292,-5.310
-0.258,-0.336,0.822,-11.108,-9.460,-6.287
-0.235,-0.327,0.815,-10.681,-6.165,-8.118
-0.214,-0.324,0.812,-10.193,-2.380,-9.949
-0.205,-0.319,0.813,-9.094,1.892,-11.353
-0.204,-0.320,0.821,-7.935,7.141,-12.512
-0.208,-0.307,0.834,-6.958,12.085,-12.146
-0.219,-0.288,0.855,-5.005,14.648,-9.766
-0.249,-0.281,0.887,-3.113,14.832,-5.798
-0.275,-0.282,0.915,-3.296,13.611,-2.014
-0.289,-0.291,0.933,-5.249,13.306,-0.061
-0.291,-0.298,0.947,-8.484,13.855,-0.977
-0.284,-0.303,0.954,-12.024,14.465,-3.113
-0.278,-0.306,0.953,-14.893,14.343,-4.761
-0.274,-0.311,0.944,-16.785,13.550,-4.883
-0.275,-0.317,0.935,-17.700,11.902,-4.089
1.493,-0.955,0.379,-39.551,97.473,-82.458
1.600,-0.996,0.494,-63.293,85.388,-105.042
1.713,-1.006,0.561,-73.853,70.435,-124.451
1.856,-0.965,0.573,-65.735,55.176,-129.272
2.162,-0.886,0.526,-28.564,55.237,-112.061
2.404,-0.709,0.563,26.550,66.895,-74.524
2.331,-0.457,0.864,73.792,73.486,-31.189
1.865,-0.196,1.373,89.783,69.824,4.822
1.271,0.028,1.861,69.458,63.782,29.846
0.697,0.212,2.194,22.949,57.617,45.288
0.187,0.344,2.365,-33.936,46.753,50.110
-0.125,0.363,2.335,-87.341,34.607,42.664
-0.179,0.193,2.137,-126.221,21.301,26.123
-0.058,-0.111,1.818,-148.804,4.639,11.902
0.103,-0.472,1.451,-154.358,-15.991,7.385
0.313,-0.829,1.060,-146.484,-40.405,11.536
0.504,-1.091,0.670,-127.502,-72.327,21.912
0.579,-1.228,0.360,-94.299,-110.535,35.400
0.584,-1.277,0.167,-47.424,-143.250,45.593
0.586,-1.239,0.041,3.723,-162.781,49.988
0.598,-1.139,-0.016,50.903,-170.776,50.415
0.564,-0.999,0.019,84.473,-174.561,50.354
0.478,-0.832,0.163,99.487,-172.974,49.500
0.366,-0.628,0.351,97.473,-161.133,47.485
0.289,-0.449,0.530,85.205,-140.259,45.166
0.169,-0.286,0.700,68.054,-116.943,42.786
0.055,-0.221,0.836,48.401,-88.989,40.344
-0.029,-0.223,0.933,24.170,-61.096,35.339
-0.069,-0.274,0.995,-3.052,-36.926,28.259
-0.086,-0.355,1.021,-29.663,-19.348,19.958
-0.079,-0.441,1.024,-50.903,-7.202,11.658
-0.049,-0.502,1.006,-62.622,-0.671,4.578
-0.023,-0.545,0.990,-64.575,1.221,0.732
-0.014,-0.565,0.977,-59.570,-1.404,0.366
-0.018,-0.555,0.971,-50.903,-6.592,2.136
-0.018,-0.518,0.973,-41.626,-13.245,3.906
-0.015,-0.469,0.965,-34.851,-18.799,3.418
-0.018,-0.410,0.959,-30.762,-23.010,0.610
-0.014,-0.342,0.960,-27.405,-26.184,-1.831
0.001,-0.292,0.958,-25.757,-27.893,-2.686
0.032,-0.277,0.949,-25.085,-28.809,-2.075
0.066,-0.273,0.926,-23.376,-30.090,0.488
0.087,-0.275,0.898,-20.020,-32.349,4.089
0.086,-0.278,0.880,-15.503,-35.034,7.507
0.076,-0.278,0.873,-10.742,-36.255,10.437
0.052,-0.272,0.877,-6.836,-35.950,12.573
0.019,-0.278,0.896,-4.150,-34.607,13.672
-0.014,-0.296,0.916,-2.502,-32.471,13.489
-0.038,-0.311,0.929,-2.625,-30.151,11.658
-0.046,-0.315,0.932,-3.967,-28.687,9.399
-0.048,-0.309,0.922,-5.798,-27.649,6.897
-0.051,-0.305,0.902,-7.080,-27.649,4.333
-0.058,-0.300,0.880,-7.874,-28.381,2.625
-0.065,-0.293,0.864,-7.935,-28.320,2.441
-0.069,-0.286,0.850,-6.653,-27.771,3.052
-0.063,-0.280,0.837,-4.333,-27.222,3.784
-0.060,-0.275,0.827,0.000,-27.466,5.005
-0.063,-0.266,0.829,5.188,-28.931,6.653
