aX,aY,aZ,gX,gY,gZ
-0.336,-0.612,0.698,10.071,-4.578,-0.122
-0.337,-0.620,0.679,7.629,-5.981,-0.488
-0.328,-0.628,0.663,6.531,-7.141,-0.854
2.318,-0.185,0.812,-53.284,299.072,53.589
2.467,-0.269,1.416,-62.866,326.904,49.988
2.204,-0.321,1.879,-80.872,302.368,45.776
1.892,-0.442,2.282,-92.346,295.410,43.518
1.490,-0.616,2.726,-93.018,298.767,36.682
1.012,-0.786,3.194,-85.693,293.579,27.893
0.687,-0.984,3.666,-71.472,273.804,20.203
0.587,-1.142,3.991,-55.725,228.760,13.428
0.658,-1.151,3.848,-44.373,159.363,4.578
0.840,-1.098,3.021,-30.518,66.650,-5.859
0.915,-1.016,1.860,-8.362,-41.809,-14.221
0.858,-0.967,0.823,23.499,-132.080,-19.592
0.772,-0.980,0.130,57.800,-178.650,-22.583
0.761,-0.995,-0.119,81.848,-175.598,-28.748
0.755,-1.051,-0.070,92.163,-153.076,-34.241
0.817,-1.089,0.032,87.524,-129.761,-39.734
0.886,-1.086,0.113,70.190,-110.901,-43.945
0.955,-1.042,0.143,42.969,-98.999,-49.988
1.024,-0.957,0.124,10.498,-100.098,-57.251
1.055,-0.840,0.094,-18.433,-115.234,-61.218
1.019,-0.689,0.131,-37.415,-134.766,-62.073
0.912,-0.581,0.186,-45.471,-150.330,-60.486
0.713,-0.555,0.129,-45.715,-155.457,-58.044
0.631,-0.619,0.071,-36.865,-148.499,-59.143
0.561,-0.642,0.005,-21.790,-128.723,-58.899
0.516,-0.673,-0.007,-4.089,-100.098,-54.443
0.453,-0.726,0.018,12.207,-76.965,-50.720
0.333,-0.818,0.061,24.963,-60.852,-48.340
0.206,-0.932,0.095,32.227,-41.016,-50.232
0.133,-1.005,0.134,32.166,-17.761,-54.993
0.050,-1.025,0.202,26.367,-4.333,-60.669
0.013,-0.949,0.259,15.015,1.282,-65.918
0.010,-0.855,0.318,0.305,9.460,-67.261
0.034,-0.816,0.360,-16.846,15.930,-66.406
0.037,-0.823,0.376,-31.799,16.846,-63.721
-0.036,-0.895,0.399,-42.114,15.503,-61.340
-0.111,-0.956,0.395,-47.913,16.296,-64.514
-0.114,-0.900,0.358,-50.842,24.963,-69.763
-0.132,-0.808,0.352,-48.767,21.606,-71.167
-0.141,-0.712,0.414,-42.908,6.348,-71.228
-0.310,-0.584,0.402,-36.987,-11.780,-65.979
-0.254,-0.605,0.408,-30.029,-3.235,-63.293
-0.161,-0.587,0.413,-35.522,13.428,-65.369
-0.179,-0.551,0.437,-42.297,9.766,-63.538
-0.293,-0.557,0.467,-45.715,-3.296,-60.730
-0.401,-0.591,0.459,-46.875,-10.681,-59.692
-0.454,-0.587,0.418,-47.363,-5.981,-58.472
-0.501,-0.571,0.434,-45.349,4.395,-56.580
-0.551,-0.583,0.511,-40.344,13.062,-54.260
-0.568,-0.581,0.559,-34.851,17.151,-52.002
-0.560,-0.563,0.577,-29.358,18.005,-49.377
-0.559,-0.580,0.598,-23.315,15.686,-46.997
-0.541,-0.595,0.593,-18.555,11.353,-46.387
-0.520,-0.590,0.584,-16.235,9.521,-45.837
-0.524,-0.584,0.589,-15.564,9.705,-45.044
